name,mode,tracked_features,detected_keypoints,candidate_landmarks,frames_since_reference,lost_frames,has_depth,has_accel,expected_action,note
room_mono_sparse_guard,mono,22,118,16,4,0,0,0,keep,mono_sparse_candidate_should_not_anchor
room_mono_recovery_hold,mono,31,142,24,5,2,0,0,keep,near_recovery_but_still_fragile
room_mono_confident_refresh,mono,49,264,62,6,0,0,0,promote,healthy_mono_candidate
room_mono_aged_reference,mono,44,238,58,13,0,0,0,promote,reference_is_old
room_mono_thin_map_support,mono,47,246,12,8,0,0,0,keep,not_enough_candidate_landmarks
room_depth_sparse_but_metric,depth,24,128,41,4,0,1,0,promote,depth_can_rescue_sparse_image
room_depth_nominal,depth,33,156,56,5,0,1,0,promote,depth_reference_should_move_forward
room_depth_after_minor_loss,depth,27,132,46,6,2,1,0,promote,metric_depth_can_reanchor
room_depth_accel_sparse_rescue,depth_accel,23,126,30,4,1,1,1,promote,gravity_prior_can_rescue_sparse_depth
room_depth_accel_thin_support,depth_accel,24,130,16,6,1,1,1,keep,accel_still_needs_map_support
xyz_mono_dense,mono,73,362,94,7,0,0,0,promote,dense_xyz_sequence
xyz_depth_dense,depth,96,428,168,3,0,1,0,promote,dense_depth_sequence
xyz_depth_long_gap,depth,54,282,82,15,0,1,0,promote,age_should_force_refresh
xyz_mono_lost_and_sparse,mono,28,121,19,9,4,0,0,keep,lost_sparse_mono_must_hold
